Timestamp (ART),Red,Tipo de mensaje,Recibido de (nombre de la red),Message
2026-03-10 07:47:48,LinkedIn,Company Mention Post,julio-raul-carrizo-b19887292,"¡Me alegra contarles que he comenzado mis estudios de Licenciatura en Higiene y Seguridad en el Trabajo en Centro de e-Learning UTN FRBA! "
2026-03-10 00:46:29,LinkedIn,Company Mention Post,agustinasolmiño,¡Me alegra contaros que he empezado mis estudios de Comercio Electrónico y Marketin Digital en Centro de e-Learning UTN FRBA!
2026-03-10 00:41:09,LinkedIn,Company Mention Post,valeria-gil-3b884969,"¡Me alegra contaros que he empezado mis estudios de Diplomatura Universitaria en Inteligencia Artificial Aplicada a Hospitales en Centro de e-Learning UTN FRBA! "
2026-03-10 00:12:37,LinkedIn,Company Mention Post,santiago-castañeda-800254277,"¡Me alegra contarles que he empezado mis estudios de Tecnicatura en gestión aeronáutica en Centro de e-Learning UTN FRBA! "
2026-03-09 23:42:28,LinkedIn,Company Mention Post,roxanabonzio,"Damos inicio a un nuevo cuatrimestre en la #LTE del Centro de e-Learning UTN FRBA. Comenzamos un nuevo espacio de aprendizaje junto a Liliana Surachi y Andrés Horacio Perretti donde proponemos diversas instancias de construcción de sentidos y abrimos oportunidades para integrar perspectivas #inclusivas de #GestiónTecnológica a partir de la generación colectiva de #conocimiento. Nos acompañan nuestras profesoras ayudantes Cecilia y Vanesa.

Más de 245 estudiantes comienzan el recorrido de nuestra materia #TecnologíayDesarrollo en el primer cuatrimestre, iniciando un proceso de reflexión, intercambio y producción académica en torno a los desafíos de la inclusión de la tecnología en los contextos educativos.

Agradecemos a Marcelo Fraire por su acompañamiento todos estos años y damos la bienvenida a nuestra nueva directora de carrera Julieta Rozenhauz.  ¡Muchos éxitos!

¡Bienvenidos a este nuevo camino de aprendizaje compartido! 
¡Iniciamos! 🚀 
#LTE #EducaciónDigital #UTN "
2026-03-09 23:35:56,LinkedIn,Company Mention Post,gabriela-vanina-segovia-0b42541b2,¡Me alegra contarles que he empezado mis estudios de Tecnicatura en Administración en Centro de e-Learning UTN FRBA!
2026-03-09 23:07:54,LinkedIn,Company Mention Post,hugo-padilla-logistica,"Hoy comienzo una nueva etapa profesional: empecé a cursar la Tecnicatura Superior en Logística en Centro de e-Learning UTN FRBA.
Con muchas ganas de aprender, sumar herramientas y seguir creciendo profesionalmente.
#Logística #SupplyChain #Operaciones #FormaciónProfesional"
2026-03-09 23:00:35,LinkedIn,Company Mention Post,roxanabonzio,"En este primer cuatrimestre mas de 2.900 nuevos estudiantes se suman a la Tecnicatura Universitaria en Comercio Electrónico y Marketing Digital #TUCEMD. ¡Bienvenidos a todos! Comienza un camino de formación, crecimiento y nuevos desafíos.  

Tengo la enorme alegría de iniciar #TecnologíaySociedad en el primer cuatrimestre, junto a un gran equipo de profesores: Liliana Surachi, Andrés Horacio Perretti, Hna Jackie nsc y Alfredo Esquivel, con quienes acompañaremos este proceso de aprendizaje compartido.

Gracias por ser parte del Centro de e-Learning UTN FRBA y de la comunidad #UTN, que sigue creciendo con compromiso e innovación.
Un especial agradecimiento a Gustavo Echevarría y Marina Mattarolo por la confianza y por brindarnos también la oportunidad de acompañar a Mariela Lorena Gallotti, como parte del equipo de docentes adjuntos en la materia Desarrollo Organizacional, durante el quinto cuatrimestre.

Es una enorme alegría formar parte de esta hermosa comunidad educativa e iniciar esta nueva cohorte. Éxitos a todos!
#ComunidadTUCEMD #EducaciónQueTransforma"
2026-03-09 23:00:25,LinkedIn,Company Mention Post,hugo-padilla-logistica,¡Me alegra contaros que he empezado mis estudios de Tecnicatura Superior en Logística en Centro de e-Learning UTN FRBA!
2026-03-09 22:54:34,LinkedIn,Company Mention Post,jessica-farias-jea,"¡Me alegra contar que he empezado mis estudios de Tecnicatura en Administracion de Empresas en Centro de e-Learning UTN FRBA! "
2026-03-09 22:33:59,LinkedIn,Company Mention Post,braian-villarroel-97b571236,¡Me alegra contaros que he empezado mis estudios de Tecnicatura en Logística en Centro de e-Learning UTN FRBA!
